cg08169020,chr14:68790171-68790172 - 2bp, 1CpGs: 20366646-20366647
cg13127825,chr6:31900142-31900143 - 2bp, 1CpGs: 9665388-9665389
cg00805874,chr6:31900070-31900071 - 2bp, 1CpGs: 9665383-9665384
cg25470384,chr6:31900059-31900060 - 2bp, 1CpGs: 9665381-9665382
cg04603811,chr6:31900096-31900097 - 2bp, 1CpGs: 9665385-9665386
cg25013586,chr6:31900138-31900139 - 2bp, 1CpGs: 9665387-9665388
cg25861453,chr6:31900129-31900130 - 2bp, 1CpGs: 9665386-9665387
cg09234252,chr10:8331696-8331697 - 2bp, 1CpGs: 15152739-15152740
cg21565496,chr13:40188013-40188014 - 2bp, 1CpGs: 19324004-19324005
cg11236515,chr2:73986635-73986636 - 2bp, 1CpGs: 3089925-3089926
cg07110949,chr4:1316090-1316091 - 2bp, 1CpGs: 6271157-6271158
cg01002223,chr1:8926975-8926976 - 2bp, 1CpGs: 187542-187543
cg20105257,chr6:30492467-30492468 - 2bp, 1CpGs: 9641870-9641871
cg09032544,chr1:167518058-167518059 - 2bp, 1CpGs: 1641919-1641920
cg09120938,chr12:132848069-132848070 - 2bp, 1CpGs: 19070561-19070562
cg06164961,chr11:118304960-118304961 - 2bp, 1CpGs: 17570808-17570809
cg24612198,chr11:118304916-118304917 - 2bp, 1CpGs: 17570807-17570808
cg07786657,chr1:167518396-167518397 - 2bp, 1CpGs: 1641929-1641930
cg13619891,chr14:106200782-106200783 - 2bp, 1CpGs: 20808736-20808737
cg02167713,chr17:81663085-81663086 - 2bp, 1CpGs: 24072428-24072429
cg04042333,chr17:1201371-1201372 - 2bp, 1CpGs: 22899601-22899602
cg24150662,chr1:3033109-3033110 - 2bp, 1CpGs: 80472-80473
cg06201717,chr1:3033069-3033070 - 2bp, 1CpGs: 80468-80469
cg08570691,chr19:49490616-49490617 - 2bp, 1CpGs: 25811293-25811294
cg11252555,chr19:49490608-49490609 - 2bp, 1CpGs: 25811292-25811293
cg21387735,chr6:166494891-166494892 - 2bp, 1CpGs: 10750882-10750883
cg07970040,chr1:9729107-9729108 - 2bp, 1CpGs: 203881-203882
cg04340595,chr1:9729116-9729117 - 2bp, 1CpGs: 203883-203884
cg08450017,chr3:45943346-45943347 - 2bp, 1CpGs: 4958624-4958625
cg22512531,chr11:122838843-122838844 - 2bp, 1CpGs: 17626353-17626354
cg12226453,chr4:970223-970224 - 2bp, 1CpGs: 6261035-6261036
cg18973586,chr4:970180-970181 - 2bp, 1CpGs: 6261033-6261034
cg04716447,chr12:122006715-122006716 - 2bp, 1CpGs: 18891166-18891167
cg14480046,chr12:122006674-122006675 - 2bp, 1CpGs: 18891164-18891165
cg11893955,chr8:29061304-29061305 - 2bp, 1CpGs: 12784843-12784844
cg08338281,chr12:55928883-55928884 - 2bp, 1CpGs: 18313916-18313917
cg14597739,chr6:31572221-31572222 - 2bp, 1CpGs: 9658102-9658103
cg17169196,chr6:31572249-31572250 - 2bp, 1CpGs: 9658105-9658106
cg21999229,chr6:31572237-31572238 - 2bp, 1CpGs: 9658104-9658105
cg14437551,chr6:31572209-31572210 - 2bp, 1CpGs: 9658101-9658102
cg13521018,chr10:132616342-132616343 - 2bp, 1CpGs: 16392812-16392813
cg17444479,chr10:132616365-132616366 - 2bp, 1CpGs: 16392815-16392816
cg11848483,chr8:143461316-143461317 - 2bp, 1CpGs: 13736464-13736465
cg03480001,chr13:113633341-113633342 - 2bp, 1CpGs: 19901799-19901800
cg16272981,chr5:1489774-1489775 - 2bp, 1CpGs: 7784189-7784190
cg08697251,chr5:1489760-1489761 - 2bp, 1CpGs: 7784187-7784188
cg26922780,chr16:88703035-88703036 - 2bp, 1CpGs: 22827302-22827303
cg08570691,chr19:49490616-49490617 - 2bp, 1CpGs: 25811293-25811294
cg11252555,chr19:49490608-49490609 - 2bp, 1CpGs: 25811292-25811293
cg10977115,chr11:122838763-122838764 - 2bp, 1CpGs: 17626351-17626352
cg25939861,chr2:86793814-86793815 - 2bp, 1CpGs: 3189778-3189779
cg24841244,chr11:118342615-118342616 - 2bp, 1CpGs: 17571311-17571312
cg17615629,chr6:30492090-30492091 - 2bp, 1CpGs: 9641863-9641864
cg04759756,chr20:36645530-36645531 - 2bp, 1CpGs: 26369142-26369143
cg26757673,chr22:37149383-37149384 - 2bp, 1CpGs: 27580388-27580389
cg25226014,chr3:45943450-45943451 - 2bp, 1CpGs: 4958627-4958628
cg14597739,chr6:31572221-31572222 - 2bp, 1CpGs: 9658102-9658103
cg17169196,chr6:31572249-31572250 - 2bp, 1CpGs: 9658105-9658106
cg21999229,chr6:31572237-31572238 - 2bp, 1CpGs: 9658104-9658105
cg14437551,chr6:31572209-31572210 - 2bp, 1CpGs: 9658101-9658102
cg12044599,chr11:67438837-67438838 - 2bp, 1CpGs: 17121408-17121409
cg23468927,chr11:67438792-67438793 - 2bp, 1CpGs: 17121405-17121406
cg21330949,chr12:19404386-19404387 - 2bp, 1CpGs: 17970749-17970750
cg14287022,chr12:19404409-19404410 - 2bp, 1CpGs: 17970752-17970753
cg20894640,chr12:19404400-19404401 - 2bp, 1CpGs: 17970750-17970751
cg24118521,chr13:46898195-46898196 - 2bp, 1CpGs: 19385418-19385419
cg05506829,chr13:46898214-46898215 - 2bp, 1CpGs: 19385420-19385421
cg23881368,chr13:46898208-46898209 - 2bp, 1CpGs: 19385419-19385420
cg07075299,chr13:46898225-46898226 - 2bp, 1CpGs: 19385421-19385422
cg07720105,chr19:14480533-14480534 - 2bp, 1CpGs: 25239968-25239969
cg19517476,chr19:14480489-14480490 - 2bp, 1CpGs: 25239966-25239967
cg26003388,chr17:78133452-78133453 - 2bp, 1CpGs: 23982576-23982577
cg07015803,chr14:99189256-99189257 - 2bp, 1CpGs: 20668022-20668023
cg10414881,chr14:22524063-22524064 - 2bp, 1CpGs: 19994145-19994146
cg08484479,chr5:887304-887305 - 2bp, 1CpGs: 7766829-7766830
cg14392283,chr8:143022170-143022171 - 2bp, 1CpGs: 13724150-13724151
cg16374333,chr1:157133849-157133850 - 2bp, 1CpGs: 1554272-1554273
cg22689323,chr8:142844909-142844910 - 2bp, 1CpGs: 13721515-13721516
cg14597739,chr6:31572221-31572222 - 2bp, 1CpGs: 9658102-9658103
cg17169196,chr6:31572249-31572250 - 2bp, 1CpGs: 9658105-9658106
cg02402436,chr6:31572274-31572275 - 2bp, 1CpGs: 9658106-9658107
cg21999229,chr6:31572237-31572238 - 2bp, 1CpGs: 9658104-9658105
cg14437551,chr6:31572209-31572210 - 2bp, 1CpGs: 9658101-9658102
cg23698124,chr17:2250883-2250884 - 2bp, 1CpGs: 22926106-22926107
cg03293732,chr17:39861561-39861562 - 2bp, 1CpGs: 23475231-23475232
cg13815684,chr6:31572663-31572664 - 2bp, 1CpGs: 9658117-9658118
cg26348243,chr6:31572684-31572685 - 2bp, 1CpGs: 9658120-9658121
cg17709873,chr6:31572679-31572680 - 2bp, 1CpGs: 9658118-9658119
cg22318806,chr6:31572634-31572635 - 2bp, 1CpGs: 9658115-9658116
cg09088496,chr13:24251835-24251836 - 2bp, 1CpGs: 19179651-19179652
cg14522718,chr9:128106595-128106596 - 2bp, 1CpGs: 14801920-14801921
cg14597739,chr6:31572221-31572222 - 2bp, 1CpGs: 9658102-9658103
cg17169196,chr6:31572249-31572250 - 2bp, 1CpGs: 9658105-9658106
cg02402436,chr6:31572274-31572275 - 2bp, 1CpGs: 9658106-9658107
cg21999229,chr6:31572237-31572238 - 2bp, 1CpGs: 9658104-9658105
cg14437551,chr6:31572209-31572210 - 2bp, 1CpGs: 9658101-9658102
cg14506192,chr12:122227441-122227442 - 2bp, 1CpGs: 18896278-18896279
cg25140783,chr1:24535382-24535383 - 2bp, 1CpGs: 432505-432506
cg26692749,chr1:24535429-24535430 - 2bp, 1CpGs: 432508-432509
cg26354221,chr22:24426834-24426835 - 2bp, 1CpGs: 27414595-27414596
cg00556515,chr12:6333441-6333442 - 2bp, 1CpGs: 17847141-17847142
cg02691035,chr16:89097392-89097393 - 2bp, 1CpGs: 22841260-22841261
cg24456340,chr17:49209121-49209122 - 2bp, 1CpGs: 23625045-23625046
cg03254928,chr11:118344095-118344096 - 2bp, 1CpGs: 17571340-17571341
cg13750061,chr11:118344130-118344131 - 2bp, 1CpGs: 17571341-17571342
cg19529732,chr12:122227554-122227555 - 2bp, 1CpGs: 18896285-18896286
cg14094409,chr12:122227546-122227547 - 2bp, 1CpGs: 18896284-18896285
cg08622923,chr12:122227569-122227570 - 2bp, 1CpGs: 18896286-18896287
cg10802680,chr12:122227528-122227529 - 2bp, 1CpGs: 18896283-18896284
cg11804414,chr12:122227590-122227591 - 2bp, 1CpGs: 18896288-18896289
cg11683242,chr1:32250956-32250957 - 2bp, 1CpGs: 547891-547892
cg02387618,chr5:134117789-134117790 - 2bp, 1CpGs: 8816601-8816602
cg23825480,chr22:30940798-30940799 - 2bp, 1CpGs: 27500704-27500705
cg08622923,chr12:122227569-122227570 - 2bp, 1CpGs: 18896286-18896287
cg21805118,chr12:122227606-122227607 - 2bp, 1CpGs: 18896289-18896290
cg11804414,chr12:122227590-122227591 - 2bp, 1CpGs: 18896288-18896289
cg18349022,chr7:99624836-99624837 - 2bp, 1CpGs: 11841961-11841962
cg13815684,chr6:31572663-31572664 - 2bp, 1CpGs: 9658117-9658118
cg26348243,chr6:31572684-31572685 - 2bp, 1CpGs: 9658120-9658121
cg17709873,chr6:31572679-31572680 - 2bp, 1CpGs: 9658118-9658119
cg22318806,chr6:31572634-31572635 - 2bp, 1CpGs: 9658115-9658116
cg02324835,chr8:29061558-29061559 - 2bp, 1CpGs: 12784854-12784855
cg21341821,chr10:541182-541183 - 2bp, 1CpGs: 15048096-15048097
cg05392293,chr10:13869331-13869332 - 2bp, 1CpGs: 15215696-15215697
cg00774149,chr3:52221705-52221706 - 2bp, 1CpGs: 5047999-5048000
cg13380109,chr3:52221746-52221747 - 2bp, 1CpGs: 5048002-5048003
cg26768318,chr15:100334595-100334596 - 2bp, 1CpGs: 21697091-21697092
cg17804342,chr10:119512151-119512152 - 2bp, 1CpGs: 16212676-16212677
cg00805874,chr6:31900070-31900071 - 2bp, 1CpGs: 9665383-9665384
cg25470384,chr6:31900059-31900060 - 2bp, 1CpGs: 9665381-9665382
cg04603811,chr6:31900096-31900097 - 2bp, 1CpGs: 9665385-9665386
cg09788778,chr6:31900045-31900046 - 2bp, 1CpGs: 9665380-9665381
cg11645762,chr6:31900042-31900043 - 2bp, 1CpGs: 9665379-9665380
cg20267828,chr6:127901245-127901246 - 2bp, 1CpGs: 10399619-10399620
cg02098313,chr6:127901233-127901234 - 2bp, 1CpGs: 10399618-10399619
cg03016153,chr1:116754332-116754333 - 2bp, 1CpGs: 1268218-1268219
cg01561807,chr13:113653287-113653288 - 2bp, 1CpGs: 19902313-19902314
cg10261205,chr11:289927-289928 - 2bp, 1CpGs: 16431684-16431685
cg10411146,chr11:289966-289967 - 2bp, 1CpGs: 16431689-16431690
cg02327522,chr19:14522218-14522219 - 2bp, 1CpGs: 25241011-25241012
cg11586857,chr6:31572359-31572360 - 2bp, 1CpGs: 9658111-9658112
cg24216966,chr6:31572344-31572345 - 2bp, 1CpGs: 9658110-9658111
cg09736959,chr6:31572337-31572338 - 2bp, 1CpGs: 9658109-9658110
cg07804973,chr13:113609091-113609092 - 2bp, 1CpGs: 19901096-19901097
cg16802439,chr16:88840776-88840777 - 2bp, 1CpGs: 22832536-22832537
cg05398700,chr14:102210804-102210805 - 2bp, 1CpGs: 20720759-20720760
cg18424841,chr20:62684092-62684093 - 2bp, 1CpGs: 26706058-26706059
cg20782252,chr7:2114139-2114140 - 2bp, 1CpGs: 10888381-10888382
cg11153071,chr17:80774277-80774278 - 2bp, 1CpGs: 24044066-24044067
cg19619585,chr15:100629814-100629815 - 2bp, 1CpGs: 21700607-21700608
cg24131359,chr12:68953214-68953215 - 2bp, 1CpGs: 18424006-18424007
cg04354689,chr16:2610829-2610830 - 2bp, 1CpGs: 21811881-21811882
cg03571959,chr16:2610875-2610876 - 2bp, 1CpGs: 21811883-21811884
cg04836151,chr8:143132349-143132350 - 2bp, 1CpGs: 13726564-13726565
cg13610659,chr12:56228824-56228825 - 2bp, 1CpGs: 18319332-18319333
cg16815625,chr8:140219378-140219379 - 2bp, 1CpGs: 13669421-13669422
cg09520857,chr2:241200509-241200510 - 2bp, 1CpGs: 4546144-4546145
cg14343513,chr17:80779473-80779474 - 2bp, 1CpGs: 24044175-24044176
cg15878616,chr20:53875670-53875671 - 2bp, 1CpGs: 26580225-26580226
cg11597277,chr20:53875709-53875710 - 2bp, 1CpGs: 26580228-26580229
cg07276358,chr13:113609027-113609028 - 2bp, 1CpGs: 19901091-19901092
cg11183227,chr15:90912177-90912178 - 2bp, 1CpGs: 21599611-21599612
cg03126713,chr16:89233072-89233073 - 2bp, 1CpGs: 22845536-22845537
cg02286380,chr17:4717910-4717911 - 2bp, 1CpGs: 22973950-22973951
cg13466002,chr17:4717957-4717958 - 2bp, 1CpGs: 22973954-22973955
cg03071500,chr11:325964-325965 - 2bp, 1CpGs: 16432948-16432949
cg09597767,chr11:325915-325916 - 2bp, 1CpGs: 16432943-16432944
cg15609237,chr2:178531158-178531159 - 2bp, 1CpGs: 3978417-3978418
cg08691235,chr2:178531208-178531209 - 2bp, 1CpGs: 3978421-3978422
cg19906284,chr2:178531185-178531186 - 2bp, 1CpGs: 3978418-3978419
cg02715602,chr19:4544434-4544435 - 2bp, 1CpGs: 25027481-25027482
cg18502618,chr21:45482350-45482351 - 2bp, 1CpGs: 27191396-27191397
cg21792134,chr3:121772535-121772536 - 2bp, 1CpGs: 5578285-5578286
cg27535410,chr19:846354-846355 - 2bp, 1CpGs: 24901913-24901914
cg02930518,chr12:10030635-10030636 - 2bp, 1CpGs: 17895584-17895585
cg26262442,chr12:10030621-10030622 - 2bp, 1CpGs: 17895583-17895584
cg17469479,chr12:10030609-10030610 - 2bp, 1CpGs: 17895581-17895582
cg13830870,chr12:10030568-10030569 - 2bp, 1CpGs: 17895577-17895578
cg11059944,chr12:10030573-10030574 - 2bp, 1CpGs: 17895578-17895579
cg11222173,chr17:80774219-80774220 - 2bp, 1CpGs: 24044059-24044060
cg02368812,chr6:3019666-3019667 - 2bp, 1CpGs: 9350756-9350757
cg02930518,chr12:10030635-10030636 - 2bp, 1CpGs: 17895584-17895585
cg26262442,chr12:10030621-10030622 - 2bp, 1CpGs: 17895583-17895584
cg17469479,chr12:10030609-10030610 - 2bp, 1CpGs: 17895581-17895582
cg11059944,chr12:10030573-10030574 - 2bp, 1CpGs: 17895578-17895579
cg22662844,chr7:2077013-2077014 - 2bp, 1CpGs: 10887125-10887126
cg25600606,chr11:33286799-33286800 - 2bp, 1CpGs: 16753217-16753218
cg14642045,chr12:109100931-109100932 - 2bp, 1CpGs: 18716448-18716449
cg23128584,chr10:277709-277710 - 2bp, 1CpGs: 15042246-15042247
cg17285931,chr2:239283712-239283713 - 2bp, 1CpGs: 4508001-4508002
cg16993108,chr7:1946666-1946667 - 2bp, 1CpGs: 10883078-10883079
cg27334271,chr16:89233348-89233349 - 2bp, 1CpGs: 22845560-22845561
cg17723958,chr12:123944748-123944749 - 2bp, 1CpGs: 18927304-18927305
cg22528270,chr7:151808030-151808031 - 2bp, 1CpGs: 12322496-12322497
cg13984928,chr17:3801280-3801281 - 2bp, 1CpGs: 22955377-22955378
cg00463732,chr17:3801327-3801328 - 2bp, 1CpGs: 22955380-22955381
cg03549146,chr16:69932999-69933000 - 2bp, 1CpGs: 22556198-22556199
cg00828556,chr3:196625115-196625116 - 2bp, 1CpGs: 6216231-6216232
cg25771026,chr3:196625156-196625157 - 2bp, 1CpGs: 6216233-6216234
cg12116137,chr17:1673155-1673156 - 2bp, 1CpGs: 22912834-22912835
cg25739938,chr2:9470492-9470493 - 2bp, 1CpGs: 2490201-2490202
cg13468144,chr17:4178133-4178134 - 2bp, 1CpGs: 22963155-22963156
cg18315935,chr1:44654623-44654624 - 2bp, 1CpGs: 704185-704186
cg15724534,chr2:210153639-210153640 - 2bp, 1CpGs: 4208550-4208551
cg16679543,chr6:157491992-157491993 - 2bp, 1CpGs: 10648034-10648035
cg08253808,chr14:102210620-102210621 - 2bp, 1CpGs: 20720751-20720752
cg20107506,chr4:99953669-99953670 - 2bp, 1CpGs: 7080713-7080714
cg14028598,chr1:171745160-171745161 - 2bp, 1CpGs: 1673812-1673813
cg15878616,chr20:53875670-53875671 - 2bp, 1CpGs: 26580225-26580226
cg11597277,chr20:53875709-53875710 - 2bp, 1CpGs: 26580228-26580229
cg11376341,chr10:21507223-21507224 - 2bp, 1CpGs: 15290314-15290315
cg25752703,chr3:128991547-128991548 - 2bp, 1CpGs: 5661305-5661306
cg02286380,chr17:4717910-4717911 - 2bp, 1CpGs: 22973950-22973951
cg13466002,chr17:4717957-4717958 - 2bp, 1CpGs: 22973954-22973955
cg10826999,chr1:225674586-225674587 - 2bp, 1CpGs: 2112150-2112151
cg13876222,chr9:136504896-136504897 - 2bp, 1CpGs: 14986802-14986803
cg09452568,chr5:54979370-54979371 - 2bp, 1CpGs: 8244954-8244955
cg00992687,chr5:54979327-54979328 - 2bp, 1CpGs: 8244951-8244952
cg10611016,chr11:6204529-6204530 - 2bp, 1CpGs: 16538535-16538536
cg15029631,chr12:51684978-51684979 - 2bp, 1CpGs: 18259322-18259323
cg00439981,chr6:170375211-170375212 - 2bp, 1CpGs: 10817651-10817652
cg14066298,chr6:30329788-30329789 - 2bp, 1CpGs: 9639872-9639873
cg01383911,chr6:30329850-30329851 - 2bp, 1CpGs: 9639874-9639875
cg06230847,chr6:30329817-30329818 - 2bp, 1CpGs: 9639873-9639874
cg07033722,chr1:40073360-40073361 - 2bp, 1CpGs: 648380-648381
cg14514483,chr6:157647423-157647424 - 2bp, 1CpGs: 10650202-10650203
cg13026550,chr6:157647465-157647466 - 2bp, 1CpGs: 10650207-10650208
cg06867755,chr2:224532670-224532671 - 2bp, 1CpGs: 4331680-4331681
cg17331920,chr17:4178030-4178031 - 2bp, 1CpGs: 22963151-22963152
cg01785719,chr8:142322826-142322827 - 2bp, 1CpGs: 13709299-13709300
cg15457217,chr2:223915692-223915693 - 2bp, 1CpGs: 4325853-4325854
cg05418105,chr22:50542977-50542978 - 2bp, 1CpGs: 27846251-27846252
cg05085169,chr20:62812399-62812400 - 2bp, 1CpGs: 26709776-26709777
cg12031275,chr15:100553629-100553630 - 2bp, 1CpGs: 21699490-21699491
cg21426759,chr6:30335349-30335350 - 2bp, 1CpGs: 9639915-9639916
cg03071500,chr11:325964-325965 - 2bp, 1CpGs: 16432948-16432949
cg09597767,chr11:325915-325916 - 2bp, 1CpGs: 16432943-16432944
cg17572056,chr3:196220191-196220192 - 2bp, 1CpGs: 6209374-6209375
cg20700740,chr1:9279624-9279625 - 2bp, 1CpGs: 194181-194182
cg13633625,chr9:111944691-111944692 - 2bp, 1CpGs: 14627337-14627338
cg14345154,chr14:88832958-88832959 - 2bp, 1CpGs: 20547623-20547624
cg10456459,chr12:22690081-22690082 - 2bp, 1CpGs: 17994601-17994602
cg01332882,chr20:49257618-49257619 - 2bp, 1CpGs: 26516801-26516802
cg21781157,chr20:49257574-49257575 - 2bp, 1CpGs: 26516799-26516800
cg23334433,chr17:81155251-81155252 - 2bp, 1CpGs: 24055873-24055874
cg13618516,chr17:81155278-81155279 - 2bp, 1CpGs: 24055874-24055875
cg06623899,chr8:141151741-141151742 - 2bp, 1CpGs: 13684216-13684217
cg13466180,chr19:12943656-12943657 - 2bp, 1CpGs: 25206193-25206194
cg25605731,chr19:12943620-12943621 - 2bp, 1CpGs: 25206192-25206193
cg04334723,chr19:12943613-12943614 - 2bp, 1CpGs: 25206191-25206192
cg01692842,chr11:134256470-134256471 - 2bp, 1CpGs: 17749178-17749179
cg20203469,chr11:134256390-134256391 - 2bp, 1CpGs: 17749176-17749177
cg19037107,chr11:134256429-134256430 - 2bp, 1CpGs: 17749177-17749178
cg22381196,chr16:72007477-72007478 - 2bp, 1CpGs: 22586127-22586128
cg15520845,chr1:205719632-205719633 - 2bp, 1CpGs: 1941570-1941571
cg13931640,chr9:134385973-134385974 - 2bp, 1CpGs: 14933083-14933084
cg07737292,chr16:56858548-56858549 - 2bp, 1CpGs: 22418594-22418595
cg01040749,chr10:132586936-132586937 - 2bp, 1CpGs: 16392085-16392086
cg17090611,chr8:17160357-17160358 - 2bp, 1CpGs: 12655935-12655936
cg18095675,chr3:197545440-197545441 - 2bp, 1CpGs: 6230302-6230303
cg14189391,chr2:25304478-25304479 - 2bp, 1CpGs: 2643690-2643691
cg10239163,chr2:25304497-25304498 - 2bp, 1CpGs: 2643692-2643693
cg00471371,chr18:76402772-76402773 - 2bp, 1CpGs: 24805056-24805057
cg12019801,chr18:76402752-76402753 - 2bp, 1CpGs: 24805053-24805054
cg26514623,chr6:13295329-13295330 - 2bp, 1CpGs: 9462367-9462368
cg27340480,chr19:43666374-43666375 - 2bp, 1CpGs: 25691429-25691430
cg19055828,chr12:50745538-50745539 - 2bp, 1CpGs: 18247842-18247843
cg14516183,chr3:123209339-123209340 - 2bp, 1CpGs: 5591719-5591720
cg10342963,chr15:98899984-98899985 - 2bp, 1CpGs: 21678768-21678769
cg23990557,chr15:98900020-98900021 - 2bp, 1CpGs: 21678769-21678770
cg13595556,chr9:126886043-126886044 - 2bp, 1CpGs: 14781483-14781484
cg01383911,chr6:30329850-30329851 - 2bp, 1CpGs: 9639874-9639875
cg06230847,chr6:30329817-30329818 - 2bp, 1CpGs: 9639873-9639874
cg18869709,chr22:42946932-42946933 - 2bp, 1CpGs: 27690345-27690346
cg09050670,chr16:1471616-1471617 - 2bp, 1CpGs: 21775196-21775197
cg05413628,chr16:1471655-1471656 - 2bp, 1CpGs: 21775199-21775200
cg08810397,chr16:1471675-1471676 - 2bp, 1CpGs: 21775201-21775202
cg04012618,chr16:21536848-21536849 - 2bp, 1CpGs: 22075621-22075622
cg08640475,chr16:85517872-85517873 - 2bp, 1CpGs: 22753731-22753732
cg10099827,chr16:85517908-85517909 - 2bp, 1CpGs: 22753735-22753736
cg08640475,chr16:85517872-85517873 - 2bp, 1CpGs: 22753731-22753732
cg10099827,chr16:85517908-85517909 - 2bp, 1CpGs: 22753735-22753736
cg04315923,chr16:29622870-29622871 - 2bp, 1CpGs: 22179900-22179901
cg19586199,chr19:14114360-14114361 - 2bp, 1CpGs: 25231187-25231188
cg17052552,chr8:41796886-41796887 - 2bp, 1CpGs: 12897608-12897609
cg16760382,chr7:65954274-65954275 - 2bp, 1CpGs: 11520330-11520331
cg12711054,chr7:65954244-65954245 - 2bp, 1CpGs: 11520328-11520329
cg21104363,chr7:65954261-65954262 - 2bp, 1CpGs: 11520329-11520330
cg01953317,chr2:55415758-55415759 - 2bp, 1CpGs: 2925499-2925500
cg18168751,chr4:981033-981034 - 2bp, 1CpGs: 6261520-6261521
cg14203426,chr7:102080667-102080668 - 2bp, 1CpGs: 11888860-11888861
cg23144852,chr3:193688210-193688211 - 2bp, 1CpGs: 6167556-6167557
cg21414595,chr12:123148759-123148760 - 2bp, 1CpGs: 18912194-18912195
cg25185536,chr2:37415350-37415351 - 2bp, 1CpGs: 2767181-2767182
cg24108508,chr1:179047098-179047099 - 2bp, 1CpGs: 1727107-1727108
cg10773745,chr12:123148595-123148596 - 2bp, 1CpGs: 18912191-18912192
cg09846625,chr3:127586227-127586228 - 2bp, 1CpGs: 5640915-5640916
cg04983687,chr16:88491815-88491816 - 2bp, 1CpGs: 22820579-22820580
cg05958985,chr16:88491829-88491830 - 2bp, 1CpGs: 22820580-22820581
cg23580509,chr11:95087086-95087087 - 2bp, 1CpGs: 17389469-17389470
cg03445653,chr16:1355222-1355223 - 2bp, 1CpGs: 21770736-21770737
cg07352016,chr18:57583336-57583337 - 2bp, 1CpGs: 24645873-24645874
cg16666745,chr5:154373485-154373486 - 2bp, 1CpGs: 9012187-9012188
cg21768884,chr17:62693189-62693190 - 2bp, 1CpGs: 23767998-23767999
cg05184016,chr7:149846047-149846048 - 2bp, 1CpGs: 12290804-12290805
cg07970948,chr7:149846076-149846077 - 2bp, 1CpGs: 12290806-12290807
cg04498775,chr21:6544635-6544636 - 2bp, 1CpGs: 26773702-26773703
cg15974642,chr10:89377865-89377866 - 2bp, 1CpGs: 15916603-15916604
cg12006794,chr4:155757933-155757934 - 2bp, 1CpGs: 7457289-7457290
cg03907313,chr12:48693766-48693767 - 2bp, 1CpGs: 18215941-18215942
cg00263619,chr12:94333686-94333687 - 2bp, 1CpGs: 18585307-18585308
cg13483984,chr1:224392753-224392754 - 2bp, 1CpGs: 2100705-2100706
cg08221288,chr14:49614562-49614563 - 2bp, 1CpGs: 20194863-20194864
cg26811065,chr6:32857583-32857584 - 2bp, 1CpGs: 9678292-9678293
cg12065228,chr1:19326294-19326295 - 2bp, 1CpGs: 353944-353945
cg09797433,chr4:87017680-87017681 - 2bp, 1CpGs: 6996170-6996171
cg03967329,chr6:26030101-26030102 - 2bp, 1CpGs: 9585978-9585979
cg23293256,chr10:11589073-11589074 - 2bp, 1CpGs: 15180141-15180142
cg05279229,chr7:1856748-1856749 - 2bp, 1CpGs: 10880043-10880044
cg19850275,chr10:73894499-73894500 - 2bp, 1CpGs: 15781221-15781222
cg07338119,chr7:157418989-157418990 - 2bp, 1CpGs: 12404118-12404119
cg13545717,chr9:123823596-123823597 - 2bp, 1CpGs: 14737225-14737226
cg26888623,chr6:37903544-37903545 - 2bp, 1CpGs: 9751700-9751701
cg06093201,chr16:1355094-1355095 - 2bp, 1CpGs: 21770723-21770724
cg08923054,chr8:41796937-41796938 - 2bp, 1CpGs: 12897610-12897611
cg23090159,chr7:65954207-65954208 - 2bp, 1CpGs: 11520327-11520328
cg25643253,chr7:65954203-65954204 - 2bp, 1CpGs: 11520326-11520327
cg20836212,chr7:65954198-65954199 - 2bp, 1CpGs: 11520325-11520326
cg12711054,chr7:65954244-65954245 - 2bp, 1CpGs: 11520328-11520329
cg03325598,chr3:12953377-12953378 - 2bp, 1CpGs: 4688485-4688486
cg05286196,chr3:12953419-12953420 - 2bp, 1CpGs: 4688487-4688488
cg22353369,chr8:127960204-127960205 - 2bp, 1CpGs: 13567499-13567500
cg15856832,chr3:49089931-49089932 - 2bp, 1CpGs: 5003214-5003215
cg05893843,chr5:120510596-120510597 - 2bp, 1CpGs: 8712791-8712792
cg01499988,chr9:35755349-35755350 - 2bp, 1CpGs: 14058595-14058596
cg06876040,chr16:1412118-1412119 - 2bp, 1CpGs: 21772757-21772758
cg07173484,chr16:67203186-67203187 - 2bp, 1CpGs: 22512517-22512518
cg02814691,chr1:182791765-182791766 - 2bp, 1CpGs: 1763049-1763050
cg07050712,chr17:49294764-49294765 - 2bp, 1CpGs: 23626684-23626685
cg05184016,chr7:149846047-149846048 - 2bp, 1CpGs: 12290804-12290805
cg07970948,chr7:149846076-149846077 - 2bp, 1CpGs: 12290806-12290807
cg04198125,chr7:157419083-157419084 - 2bp, 1CpGs: 12404123-12404124
cg05477517,chr6:164110544-164110545 - 2bp, 1CpGs: 10726130-10726131
cg10330847,chr3:141312873-141312874 - 2bp, 1CpGs: 5768537-5768538
cg12099546,chr15:72471508-72471509 - 2bp, 1CpGs: 21388133-21388134
cg17203290,chr8:98093348-98093349 - 2bp, 1CpGs: 13345804-13345805
cg11310939,chr5:126921424-126921425 - 2bp, 1CpGs: 8757709-8757710
cg09085220,chr16:8642576-8642577 - 2bp, 1CpGs: 21907070-21907071
cg23434428,chr10:6515167-6515168 - 2bp, 1CpGs: 15130639-15130640
cg03184452,chr8:13247646-13247647 - 2bp, 1CpGs: 12626236-12626237
cg15034267,chr22:38710447-38710448 - 2bp, 1CpGs: 27613660-27613661
